codigo_atc,principio_activo,categoria_farmacologica,presentacion_pediatrica,via_administracion_aprobada,dosis_pediatrica_recomendada,frecuencia_estandar,edad_minima_meses,interacciones_graves,riesgo_preparacion,alerta_lasa,notas_farmacovigilancia
N02BE01,Acetaminofén,Analgésico/Antipirético,Jarabe 150mg/5ml,Oral,10-15 mg/kg/dosis,Cada 6 horas,0,Ninguna frecuente,Bajo,No,Riesgo de hepatotoxicidad por sobredosificación (error de dosificación frecuente).
J01CA04,Amoxicilina,Antibiótico,Suspensión 250mg/5ml,Oral,40-90 mg/kg/día,Cada 8 horas,0,"Alopurinol, Anticoagulantes",Medio (Requiere reconstitución con agua),Sí (Ampicilina),Errores comunes en la reconstitución en casa o sobredosis por confusión de concentración.
R03AC02,Salbutamol,Broncodilatador,Inhalador 100mcg/dosis,Inhalatoria,100-200 mcg/dosis (1-2 puff),Cada 4-6 horas (Rescate),0,Betabloqueantes,Bajo,No,"Error frecuente de administración sin aerocámara en lactantes, causando fallo terapéutico."
A12CB01,Zinc,Suplemento,Jarabe 20mg/5ml,Oral,10-20 mg/día,Cada 24 horas,0,"Hierro, Calcio, Ciprofloxacino",Bajo,No,Omisión de dosis frecuente. Interactúa disminuyendo absorción de antibióticos si se dan juntos.
J01FA10,Azitromicina,Antibiótico,Suspensión 200mg/5ml,Oral,10 mg/kg/día,Cada 24 horas,6,"Antiácidos, Digoxina",Medio,Sí (Eritromicina),Frecuencia incorrecta (administrar cada 8h en lugar de 24h) es un error grave de prescripción.
J01DD04,Ceftriaxona,Antibiótico,Polvo liofilizado 1g,Intravenosa / Intramuscular,50-75 mg/kg/día,Cada 12-24 horas,0,Calcio intravenoso (contraindicado),Alto (Dilución requerida),Sí (Cefotaxima),Alto riesgo de error de administración (vía IV muy rápida) e interacciones letales en neonatos (precipitación con Calcio).
R03BA02,Budesonida,Corticoide inhalado,Suspensión para nebulizar 0.25mg/ml,Inhalatoria (Nebulización),0.25-0.5 mg/día,Cada 12 horas,6,Ketoconazol,Medio (Mezcla con SSN),No,Error de vía (administración oral en lugar de nebulizada) o dosis incorrecta por confusión de volumen.
M01AE01,Ibuprofeno,AINE,Suspensión 100mg/5ml,Oral,5-10 mg/kg/dosis,Cada 6-8 horas,6,"Corticoides, Anticoagulantes",Bajo,No,Uso contraindicado en menores de 6 meses o pacientes con dengue (riesgo de sangrado).
B03AA05,Sulfato Ferroso,Suplemento antianémico,Gotas 25mg/ml (Hierro elemental),Oral,3-6 mg/kg/día,Cada 24 horas,0,"Antiácidos, Leche, Zinc",Bajo,No,Error de dosificación común (confusión entre mg de sal y mg de hierro elemental).
R06AE07,Cetirizina,Antihistamínico,Jarabe 5mg/5ml o Gotas 10mg/ml,Oral,2.5-5 mg/día,Cada 12-24 horas,6,Depresores del SNC,Bajo,Sí (Levocetirizina),Confusión entre presentación en gotas y jarabe genera sobredosis (somnolencia severa).
A02BC01,Omeprazol,Protector Gástrico,Cápsulas 20mg (preparación magistral),Oral,1-2 mg/kg/día,Cada 24 horas,1,"Clopidogrel, Ketoconazol",Alto (Fórmula magistral),Sí (Esomeprazol),Dificultad para dosificar en lactantes; la apertura de cápsulas altera la farmacocinética (fallo terapéutico).
H02AB06,Prednisolona,Corticoide sistémico,Jarabe 15mg/5ml,Oral,1-2 mg/kg/día,Cada 12-24 horas,0,"AINEs, Vacunas vivas",Bajo,Sí (Prednisona),"Errores de transcripción en la duración del tratamiento, causando supresión suprarrenal si no se hace desmonte."
J01DB01,Cefalexina,Antibiótico,Suspensión 250mg/5ml,Oral,25-50 mg/kg/día,Cada 6-8 horas,0,Nefrotóxicos,Medio (Reconstitución),Sí (Cefalotina),Reconstitución con volumen inadecuado de agua altera la concentración entregada al paciente.
R06AX13,Loratadina,Antihistamínico,Jarabe 5mg/5ml,Oral,5-10 mg/día,Cada 24 horas,24,"Eritromicina, Ketoconazol",Bajo,Sí (Desloratadina),Administración errónea en menores de 2 años donde no está plenamente indicada (error de prescripción).
